,English_Name,Chinese_Name,nanxi_translation,rukun_translation,gpt35_translation,gpt4_translation
0,Shanghai Cuisine,上海小馆,Shanghai Bistro,Shanghai Pavilion,Shanghai Small Restaurant,Shanghai Small Restaurant
1,Shanghai Fresh,十八鲜,Eighteen Fresh,Eighteen Fresh,Eighteen Fresh,Eighteen Fresh
2,Kao Barbecue,久经烤焰,Roasted for a Long Time,The Old Grill,Long Experienced Roast Flame,Long Time Roasted Flame
3,Taiwan Cafe,海之味,Taste of the Sea,Sea Flavor,Taste of the Sea,Taste of the Sea
4,Hunan Cuisine,异国他湘,Alien Country Other Hunan,A Foreign Country in Hunan,Foreign He Xiang,Exotic Hunan
5,House of Chang,藤王馔,Vine King Delicacy,Tengwang Cuisine,Vine King Feast,Wisteria King Feast
6,Bun's House,四川冒菜,Sichuan Instant Boiled Spicy Hot Pot,Sichuan Maocai,Sichuan Bubble Vegetables,Sichuan Spicy Noodle Soup
7,KungFu MalaTang,汤功夫麻辣烫·麻辣拌,Soup Kunfu Spicy Hot Pot,Kungfu Soup Spicy Hot Pot Spicy Sauce,Soup Kung Fu Spicy Hot Pot Spicy Mix,Soup Kung Fu Spicy Hot Pot · Spicy Mix
8,Spicy World,大舌头,Big Tongue,Big Tongue,Big Tongue,Big Tongue
9,Flame Hot Pot & Sushi,一品川,A Taste of Sichuan,The Best Sichuan,One Product Sichuan,First Class Sichuan
10,Boston Soup Dumplings,烹小鲜,Cook Little Fresh,Cooking Small Delicacies,Cook Small Fresh,Cook Fresh Delicacy
11,Six Po Hot Pot,六婆串串香,Six Auntie Skewers Delicious,Six Nanies' Skewer,Six Granny Skewers Fragrant,Six Granny Skewer Fragrance
12,Kaojiu Restaurant,烤究,Study of Roasting,Good Grilling,Roast Investigate,Roast Research
13,Tasty Pot,味鼎,Taste Tripod,Flavor Royal Pot,Taste Tripod,Taste Tripod
14,Golden Garden,金山饭店,Golden Mountain Restaurant,Golden Mount Restaurant,Golden Mountain Restaurant,Golden Mountain Restaurant
15,Taste House,百味轩,Hundred Taste Pavillion,Hundred Taste Restaurant,Hundred Taste Pavilion,Hundred Flavor Pavilion
16,Sumiao Hunan Kitchen,素描湘,Sketch Hunnan,Sketch Xiang,Sketch Hunan,Sketch Hunan
17,District Kitchen,饺子馆,Dumpling Pavillion,Dumpling Restaurant,Dumpling House,Dumpling House
18,BOS' SiChuan Taste,一碟川菜馆,One Plate Sichuan Cuisine Restaurant,One Dish Sichuan Restaurant,One Plate Sichuan Cuisine Restaurant,One Dish Sichuan Restaurant
19,Noah's Kitchen,亚轩十八,Asian Pavillion Eighteen,Asian Eighteenth Restaurant,Asia Pavilion Eighteen,Asia Elegant Eighteen
20,Lu Fu Zi,卤夫子,Brined Scholar,Stewed Master's Restaurant,Braised Husband,Master of Marinades
21,Grill Fish,烤鱼之家,Home of Grilled Fish,Roast Fish Home,Grilled Fish House,Grilled Fish House
22,Brother Crab Pot,哥俩肉蟹煲,Two Brothers Meaty Crab Pot,Two Brother Meat Crab Pot,Brothers Crab Pot,Brothers Crab Pot
23,Hong Kong Style Hot pot,香满园打边炉港式火锅,Fragrance Full Garden Hong Kong Style Hotpot,Hong Kong Style Hot Pot With Fragrant Garden and Edge Furnace,Fragrant Full Garden Hit Side Stove Hong Kong Style Hot Pot,Fragrant Full Garden Side Stove Hong Kong Style Hot Pot
24,China Gourmet Restaurant,味中味,Taste in Taste,Taste In Taste,Taste In Taste,Taste Within Taste
25,Dolphin Bay,海豚湾,Dolphin Bay,Dolphin Bay,Dolphin Bay,Dolphin Bay
26,Mala Restaurant,一麻一辣,One Numb One Spicy,One Sesame Aand One Spicy,One Numb One Spicy,One Sesame One Spicy
27,Supreme BBQ,尚品烤吧,Fashion Taste BBQ bar,Top Taste Barbecue,Shang Pin Roast Bar,Supreme Brand Grill Bar
28,Yunnan Kitchen,彩云之南,South of the Colorul Cloud,South Of Colorful Clouds,Color Cloud South,Colorful Clouds South
29,New China,新中国,New China,New China,New China,New China
30,Yummee,渔米,Fishing Rice,Southern Rice,Fish Rice,Fish Rice
31,Peking House,财富,Fortune,Wealth,Wealth Fortune,Wealth
32,Dumpling Palace,南北和,South North Together,North And South,South North Harmony,South North Harmony
33,Empire Garden Restaurant,帝苑大酒楼,Empire Garden Great Restaurant,Empire Garden Restaurant,Emperor Garden Big Wine House,Emperor Garden Grand Hotel
34,Wing's Kitchen,小南阁,LIttle South Attic,Little South Pavilion,Little South Pavilion,Little South Pavillion
35,Jade Garden,翠苑海鲜酒楼,Emerald Garden Seafood Restaurant,Royal Green Seafood Restaurant,Green Garden Seafood Restaurant,Emerald Garden Seafood Restaurant
36,The Q,小绵羊火锅,Little Lamb Hotpot,Little Sheep Hot Pot,Little Lamb Hot Pot,Little Cotton Sheep Hot Pot
37,Clay Pot Cafe,旺角,Mong Kok,Good Fortune Corner,Prosperous Corner,Flourishing Corner
38,Double Chin Modern Asian Restaurant,为食家,For Food Home,As A Foodie,For Food Family,For Foodies
